sim_id,group_name,group_id,num_users,lat,lon,scenario
0,Rural_02,854b8637fffffff,61,22.112369560895555,121.55628942583353,Suburban
1,Rural_03,854bb513fffffff,38,23.50511170196787,119.53679425331745,Suburban
2,Tainan_05,854bb113fffffff,23,22.807100091499457,120.25729605179184,Suburban
3,Hsinchu_04,854ba01bfffffff,26,24.638688011198514,120.93899817666848,Suburban
4,Taipei_01,854ba0a7fffffff,286,25.04116935729994,121.51751796001166,Suburban
5,Hsinchu_01,854ba013fffffff,224,24.778302870562467,120.99181214052253,Suburban
6,Rural_01,854b847bfffffff,69,22.604568739397045,121.45378913427825,Suburban
7,Rural_04,854bb58ffffffff,34,23.645779743092195,119.58839117619074,Suburban
8,Kaohsiung_02,854bb103fffffff,104,22.706205388472785,120.36055135957014,Suburban
9,Taichung_05,854ba05bfffffff,18,24.3174912880266,120.67697087742238,Suburban
