sim_id,group_name,group_id,num_users,lat,lon,scenario
0,Rural_02,854b8637fffffff,61,22.112369560895555,121.55628942583353,Rural
1,Rural_03,854bb513fffffff,38,23.50511170196787,119.53679425331745,Rural
2,Rural_01,854b847bfffffff,69,22.604568739397045,121.45378913427825,Rural
3,Rural_04,854bb58ffffffff,34,23.645779743092195,119.58839117619074,Rural
4,Rural_10,854b869bfffffff,14,22.299694835142358,120.77436578893344,Rural
5,Rural_06,854b8623fffffff,21,21.96880487385477,121.503274299639,Rural
6,Rural_25,854bb1affffffff,9,22.930470810642696,120.72446934166109,Rural
7,Rural_28,854ba027fffffff,9,24.7041122900524,121.6737803989342,Rural
8,Rural_40,854ba393fffffff,8,24.42398612559678,121.5671691690872,Rural
9,Rural_20,854ba3dbfffffff,10,23.96154323399991,121.25022183303277,Rural
