sim_id,group_name,group_id,num_users,lat,lon,scenario
0,Chiayi_01,854ba257fffffff,171,23.51510195359873,120.51841641286516,Urban
1,Chiayi_02,854ba253fffffff,168,23.47372170905546,120.36261641731316,Urban
2,Chiayi_03,854ba243fffffff,93,23.373845658013774,120.46608503312699,Urban
3,Chiayi_04,854ba2cffffffff,58,23.614795687477006,120.41487453910315,Urban
4,Chiayi_05,854ba25bfffffff,14,23.332473473461935,120.31041202123822,Suburban
5,Chiayi_06,854ba247fffffff,9,23.41511189861726,120.6220375528796,Suburban
6,Hsinchu_01,854ba013fffffff,224,24.778302870562467,120.99181214052253,Urban
7,Hsinchu_02,854ba08ffffffff,67,24.917727017866866,121.04467968893316,Urban
8,Hsinchu_03,854ba08bfffffff,33,24.876337187439447,120.88761449425,Urban
9,Hsinchu_04,854ba01bfffffff,26,24.638688011198514,120.93899817666848,Suburban
10,Hsinchu_05,854ba0c7fffffff,19,24.736908236590445,120.83487306982177,Urban
11,Hsinchu_06,854ba003fffffff,16,24.679968529763517,121.09608678980487,Suburban
12,Hualien_01,854ba3c7fffffff,166,24.043084229551717,121.5653500261908,Urban
13,Hualien_02,854ba3cffffffff,101,23.902175437874714,121.51215935605127,Urban
14,Hualien_03,854ba31bfffffff,31,23.942772781338622,121.6700031636431,Urban
15,Hualien_04,854ba3c3fffffff,14,24.002372210272345,121.40765086974349,Suburban
16,Hualien_05,854ba357fffffff,5,23.801681340086308,121.616741701821,Suburban
17,Kaohsiung_01,854bb10bfffffff,169,22.563918335069328,120.30841487494644,DenseUrban
18,Kaohsiung_02,854bb103fffffff,104,22.706205388472785,120.36055135957014,Suburban
19,Kaohsiung_03,854bb11bfffffff,53,22.664992512974173,120.20523296037811,Suburban
20,Kaohsiung_04,854bb10ffffffff,28,22.605017095238388,120.46388656889542,Suburban
21,Kaohsiung_05,854bb173fffffff,9,22.46255106880484,120.41167693182118,Suburban
22,Rural_01,854b847bfffffff,69,22.604568739397045,121.45378913427825,Rural
23,Rural_02,854b8637fffffff,61,22.112369560895555,121.55628942583353,Rural
24,Rural_03,854bb513fffffff,38,23.50511170196787,119.53679425331745,Rural
25,Rural_04,854bb58ffffffff,34,23.645779743092195,119.58839117619074,Rural
26,Rural_05,854bb517fffffff,25,23.547133375304163,119.69114613280492,Rural
27,Rural_06,854b8623fffffff,21,21.96880487385477,121.503274299639,Rural
28,Rural_07,854ba2cbfffffff,17,23.573301553017515,120.25922789533932,Suburban
29,Rural_08,854bb197fffffff,14,23.19105273327298,120.25826135461288,Suburban
30,Rural_09,854ba35bfffffff,14,23.619804400719907,121.40593727161676,Rural
31,Rural_10,854b869bfffffff,14,22.299694835142358,120.77436578893344,Rural
32,Rural_11,854bb133fffffff,13,22.788327284287764,120.67202649963323,Rural
33,Rural_12,854ba20bfffffff,12,23.55637494990024,120.67449551196695,Suburban
34,Rural_13,854ba2b7fffffff,12,24.160814483406384,121.04172330303979,Rural
35,Rural_14,854ba21bfffffff,11,23.65618269179687,120.5708014372798,Suburban
36,Rural_15,854bb117fffffff,11,22.848326260108703,120.4127414346648,Suburban
37,Rural_16,854ba2b3fffffff,11,24.119641312937453,120.88486288917277,Suburban
38,Rural_17,854ba28ffffffff,11,23.937810561583944,120.67573239902346,Suburban
39,Rural_18,854b86c7fffffff,11,22.054159714918296,120.82551497419509,Rural
40,Rural_19,854ba38bfffffff,10,24.183806259460177,121.61859376541717,Suburban
41,Rural_20,854ba3dbfffffff,10,23.96154323399991,121.25022183303277,Rural
42,Rural_21,854ba2affffffff,10,23.92059871844146,121.09306459355263,Rural
43,Rural_22,854ba353fffffff,10,23.76108158889526,121.45902176724199,Suburban
44,Rural_23,854ba1c3fffffff,9,24.98346323665816,121.78060406714721,Suburban
45,Rural_24,854ba2bbfffffff,9,23.979096040054912,120.8321907270505,Suburban
46,Rural_25,854bb1affffffff,9,22.930470810642696,120.72446934166109,Rural
47,Rural_26,854b848bfffffff,9,23.19489018493052,121.24700245656692,Rural
48,Rural_27,854ba1cbfffffff,9,24.843885479838704,121.72716568492575,Suburban
49,Rural_28,854ba027fffffff,9,24.7041122900524,121.6737803989342,Rural
50,Rural_29,854bb1b3fffffff,9,23.132062226693712,120.51728233962362,Rural
51,Rural_30,854bb127fffffff,8,22.727702329237374,120.93196832435491,Suburban
52,Rural_31,854b8497fffffff,8,23.478345605012684,121.352905880641,Rural
53,Rural_32,854bb1abfffffff,8,22.889450301760686,120.56846638196095,Rural
54,Rural_33,854ba203fffffff,8,23.697461144352072,120.72700703160679,Rural
55,Rural_34,854ba053fffffff,8,24.45748364645619,120.72955125452249,Rural
56,Rural_35,854ba043fffffff,8,24.35889269024926,120.83353103499881,Suburban
57,Rural_36,854ba00ffffffff,8,24.581334428857712,121.20043783597563,Rural
58,Rural_37,854ba213fffffff,8,23.797086135730417,120.62324010118465,Rural
59,Rural_38,854ba207fffffff,8,23.738629624295847,120.88348974167496,Rural
